-1.3185e+00,-4.9322e+00
-1.4993e+01, 5.5098e+00
-6.7681e+00,-1.1746e+00
-1.6403e+00, 1.0786e+01
 1.7266e+01, 1.3018e+00
 4.5893e+00,-7.3815e+00
 1.1564e+01, 3.9931e+00
-3.9513e+00,-1.4856e+01
-1.6729e-01,-1.1621e+01
-1.2573e+01, 1.0238e+01
 9.4684e+00,-9.3697e+00
-1.1861e+01, 6.5009e+00
-9.1425e+00,-8.5814e+00
 7.6668e+00,-1.4188e+01
-8.2675e+00,-2.0195e+00
-1.1183e+01,-4.8017e+00
 7.8886e+00, 3.7033e+00
 1.0532e+01, 1.0384e+01
-1.3230e+01,-9.6422e+00
-6.8558e+00,-5.5647e+00
-6.7042e+00,-1.1849e+01
 5.5381e+00, 1.3364e+01
 2.0966e+00,-7.9137e+00
-6.3699e+00, 6.3700e+00
-4.6100e+00, 9.1701e+00
-1.0339e+01, 3.7862e+00
 5.3718e+00,-1.5669e+01
-2.5521e+00, 1.6617e+01
 7.9881e+00,-3.5848e+00
 1.4157e+01, 1.9729e+00
 9.6319e+00, 8.3818e+00
-2.2592e+00, 4.1660e+00
-1.7386e+01, 4.9534e-01
 9.3280e-01,-2.3503e+00
 6.6904e+00,-8.8824e+00
-1.1586e+01,-1.2881e+01
 1.5614e+01,-6.8363e-01
 2.5014e-01, 4.1530e+00
-3.7195e+00,-3.7478e+00
-3.9422e+00,-1.7345e+00
 3.2424e+00, 7.2309e-01
 8.0467e+00, 1.6505e+00
 8.7907e+00, 1.0957e+01
-3.8308e+00, 1.5217e+01
 7.8360e+00,-5.1595e+00
-1.4710e+01, 7.1339e+00
-1.0467e+01,-9.4296e+00
-3.9071e+00,-6.3879e+00
-6.5232e+00,-1.5559e+01
-9.6647e+00, 3.8147e-01
 9.4957e+00,-5.8378e+00
-1.1441e+01, 8.9374e+00
-8.5334e+00, 8.3640e+00
 1.3088e+01,-5.0783e+00
-1.1804e+01,-8.2539e+00
 7.5432e+00, 9.1538e+00
-1.2557e+01, 2.8707e-01
